FSHNG_PRT_NM,FP_ADDR_DNL,EDU_FCLTY_CNT,PBLC_FCLTY_CNT,NRB_FP_DIST
위미항,제주특별자치도 서귀포시 남원읍 위미중앙로196번길 6-13,,,5.5
읍천항,경상북도 경주시 양남면 양남항구길 46,,,9.8
이목항,전라남도 완도군 노화읍 노화로 891-31,,,2
임원항,강원도 삼척시 원덕읍 임원항구로 16,,,2.5
장고항,충청남도 당진시 석문면 장고항로 334,,,2.7
장봉항,인천광역시 옹진군 북도면 장봉로541번길 146,,,4.1
장호항,강원도 삼척시 근덕면 장호항길 111,,,1.2
저동항,경상북도 울릉군 울릉읍 봉래1길 19-11,,,6.6
전장포항,전라남도 신안군 임자면 전장포길 908,,,11.6
정자항,울산광역시 북구 정자1길 60-12,,,5.7
죽변항,경상북도 울진군 죽변면 죽변항길 124,6,6,2.8
지세포항,경상남도 거제시 일운면 지세포해안로 91,,,2.5
천성항,부산광역시 강서구 가덕해안로 761,,,2.2
청산도항,전라남도 완도군 청산면 청산로 5,,,4.8
초도항,전라남도 여수시 삼산면 대동해안길 32,,,2.3
축산항,경상북도 영덕군 축산면 축산항길 75,,,2.4
풍남항,전라남도 고흥군 풍양면 천마로 1418-17,,,4.7
하효항,제주특별자치도 서귀포시 쇠소깍로 151-10,,,5.5
현포항,경상북도 울릉군 북면 울릉순환로 2625,,,2.9
호두항,경상남도 통영시 한산면 호두2길 4-1,,,2.1
홍원항,충청남도 서천군 서면 홍원길 130-7,,,7.1
회진항,전라남도 장흥군 회진면 회진선창길 28,,,4.1
가거도항,전라남도 신안군 흑산면 가거도길 1,,,35.8
감포항,경상북도 경주시 감포읍 감포로2길 103,,,1.9
강릉항,강원도 강릉시 창해로 14번길 51-26,,,5
거진항,강원도 고성군 거진읍 거진항1길 62-3,,,3.9
격포항,전라북도 부안군 변산면 격포항길 64-7,,,2.9
계마항,전라남도 영광군 홍농읍 계마길 31-59,,,11.2
공현진항,강원도 고성군 죽왕면 공현진해변길 78-1,,,2
광암항,경상남도 창원시 마산합포구 진동면 해양관광로 164-22,,,1.6
구계항,경상북도 영덕군 남정면 구계1길 6-7,,,4.3
구산항,경상북도 울진군 기성면 구산봉산로 126-4,,,5.4
구시포항,전라북도 고창군 상하면 구시포해변길 84,,,8.5
구조라항,경상남도 거제시 일운면 구조라로 49,,,3.5
국동항,전라남도 여수시 어항단지로 24,,,1
궁촌항,강원도 삼척시 근덕면 궁촌해변길 142-7,,,3.5
궁평항,경기도 화성시 서신면 궁평항로 1049-24,,,5.2
금진항,강원도 강릉시 옥계면 헌화로 455-3,,,2
김녕항,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,,,1.9
능포항,경상남도 거제시 능포로16길 21,,,4.9
다대다포항,경상남도 거제시 남부면 다대5길 46-1,,,2.6
다대포항,부산광역시 사하구 다대로605번길 67,,,11.6
대변항,부산광역시 기장군 기장읍 기장해안로 623,,,1
대보항,경상북도 포항시 남구 호미곶면 구만길 292,,,1.7
대진항,경상북도 영덕군 영해면 영덕대게로 2742,,,1.8
대진항,강원도 고성군 현내면 대진항길 100,,,2.3
